2026-03-16 14:38:52 | INFO     | TrafficFlood         | ============================================================
2026-03-16 14:39:36 | INFO     | TrafficFlood         | Stop signal received — shutting down …
2026-03-16 14:39:37 | INFO     | TrafficFlood         | Flood complete — 25 requests sent, 25 errors
2026-03-16 14:39:37 | INFO     | TrafficFlood         | ============================================================
2026-03-16 14:39:37 | INFO     | TrafficFlood         |   SIMULATION SUMMARY — TrafficFlood
2026-03-16 14:39:37 | INFO     | TrafficFlood         | ============================================================
2026-03-16 14:39:37 | INFO     | TrafficFlood         |   Target         : 127.0.0.1:80
2026-03-16 14:39:37 | INFO     | TrafficFlood         |   Duration       : 10.75 s
2026-03-16 14:39:37 | INFO     | TrafficFlood         |   Packets sent   : 25
2026-03-16 14:39:37 | INFO     | TrafficFlood         |   Connections    : 0
2026-03-16 14:39:37 | INFO     | TrafficFlood         |   Bytes sent     : 0
2026-03-16 14:39:37 | INFO     | TrafficFlood         |   Errors         : 25
2026-03-16 14:39:37 | INFO     | TrafficFlood         | ============================================================
2026-03-16 14:40:21 | INFO     | TrafficFlood         | Stop signal received — shutting down …
2026-03-16 14:40:22 | INFO     | TrafficFlood         | Flood complete — 25 requests sent, 25 errors
2026-03-16 14:40:22 | INFO     | TrafficFlood         | ============================================================
2026-03-16 14:40:22 | INFO     | TrafficFlood         |   SIMULATION SUMMARY — TrafficFlood
2026-03-16 14:40:22 | INFO     | TrafficFlood         | ============================================================
2026-03-16 14:40:22 | INFO     | TrafficFlood         |   Target         : 127.0.0.1:80
2026-03-16 14:40:22 | INFO     | TrafficFlood         |   Duration       : 10.74 s
2026-03-16 14:40:22 | INFO     | TrafficFlood         |   Packets sent   : 25
2026-03-16 14:40:22 | INFO     | TrafficFlood         |   Connections    : 0
2026-03-16 14:40:22 | INFO     | TrafficFlood         |   Bytes sent     : 0
2026-03-16 14:40:22 | INFO     | TrafficFlood         |   Errors         : 25
2026-03-16 14:40:22 | INFO     | TrafficFlood         | ============================================================
2026-03-16 14:41:07 | INFO     | TrafficFlood         | Stop signal received — shutting down …
2026-03-16 14:41:08 | INFO     | TrafficFlood         | Flood complete — 25 requests sent, 25 errors
2026-03-16 14:41:08 | INFO     | TrafficFlood         | ============================================================
2026-03-16 14:41:08 | INFO     | TrafficFlood         |   SIMULATION SUMMARY — TrafficFlood
2026-03-16 14:41:08 | INFO     | TrafficFlood         | ============================================================
2026-03-16 14:41:08 | INFO     | TrafficFlood         |   Target         : 127.0.0.1:80
2026-03-16 14:41:08 | INFO     | TrafficFlood         |   Duration       : 10.72 s
2026-03-16 14:41:08 | INFO     | TrafficFlood         |   Packets sent   : 25
2026-03-16 14:41:08 | INFO     | TrafficFlood         |   Connections    : 0
2026-03-16 14:41:08 | INFO     | TrafficFlood         |   Bytes sent     : 0
2026-03-16 14:41:08 | INFO     | TrafficFlood         |   Errors         : 25
2026-03-16 14:41:08 | INFO     | TrafficFlood         | ============================================================
2026-03-16 14:41:53 | INFO     | TrafficFlood         | Stop signal received — shutting down …
2026-03-16 14:41:53 | INFO     | TrafficFlood         | Flood complete — 25 requests sent, 25 errors
2026-03-16 14:41:53 | INFO     | TrafficFlood         | ============================================================
2026-03-16 14:41:53 | INFO     | TrafficFlood         |   SIMULATION SUMMARY — TrafficFlood
2026-03-16 14:41:53 | INFO     | TrafficFlood         | ============================================================
2026-03-16 14:41:53 | INFO     | TrafficFlood         |   Target         : 127.0.0.1:80
2026-03-16 14:41:53 | INFO     | TrafficFlood         |   Duration       : 10.68 s
2026-03-16 14:41:53 | INFO     | TrafficFlood         |   Packets sent   : 25
2026-03-16 14:41:53 | INFO     | TrafficFlood         |   Connections    : 0
2026-03-16 14:41:53 | INFO     | TrafficFlood         |   Bytes sent     : 0
2026-03-16 14:41:53 | INFO     | TrafficFlood         |   Errors         : 25
2026-03-16 14:41:53 | INFO     | TrafficFlood         | ============================================================
2026-03-16 15:01:44 | INFO     | PortScan             | Starting FAST port scan on localhost  |  ports: 8  |  speed: fast
2026-03-16 15:01:46 | DEBUG    | PortScan             | Port    22 — closed / filtered
2026-03-16 15:01:48 | DEBUG    | PortScan             | Port    80 — closed / filtered
2026-03-16 15:01:50 | DEBUG    | PortScan             | Port   443 — closed / filtered
2026-03-16 15:01:52 | DEBUG    | PortScan             | Port  8080 — closed / filtered
2026-03-16 15:01:54 | DEBUG    | PortScan             | Port  8443 — closed / filtered
2026-03-16 15:01:56 | DEBUG    | PortScan             | Port  3306 — closed / filtered
2026-03-16 15:01:56 | INFO     | PortScan             | Port  5432 — OPEN
2026-03-16 15:01:58 | DEBUG    | PortScan             | Port  6379 — closed / filtered
2026-03-16 15:01:58 | INFO     | PortScan             | Scan complete — 1 open port(s) found out of 8 probed
2026-03-16 15:01:58 | INFO     | PortScan             | ============================================================
2026-03-16 15:01:58 | INFO     | PortScan             |   SIMULATION SUMMARY — PortScan
2026-03-16 15:01:58 | INFO     | PortScan             | ============================================================
2026-03-16 15:01:58 | INFO     | PortScan             |   Target         : localhost:80
2026-03-16 15:01:58 | INFO     | PortScan             |   Duration       : 14.13 s
2026-03-16 15:01:58 | INFO     | PortScan             |   Packets sent   : 8
2026-03-16 15:01:58 | INFO     | PortScan             |   Connections    : 8
2026-03-16 15:01:58 | INFO     | PortScan             |   Bytes sent     : 0
2026-03-16 15:01:58 | INFO     | PortScan             |   Errors         : 0
2026-03-16 15:01:58 | INFO     | PortScan             | ============================================================
2026-03-16 15:02:25 | INFO     | PortScan             | Starting FAST port scan on localhost  |  ports: 8  |  speed: fast
2026-03-16 15:02:27 | DEBUG    | PortScan             | Port    22 — closed / filtered
2026-03-16 15:02:29 | DEBUG    | PortScan             | Port    80 — closed / filtered
2026-03-16 15:02:31 | DEBUG    | PortScan             | Port   443 — closed / filtered
2026-03-16 15:02:33 | DEBUG    | PortScan             | Port  8080 — closed / filtered
2026-03-16 15:02:35 | DEBUG    | PortScan             | Port  8443 — closed / filtered
2026-03-16 15:02:37 | DEBUG    | PortScan             | Port  3306 — closed / filtered
2026-03-16 15:02:37 | INFO     | PortScan             | Port  5432 — OPEN
2026-03-16 15:02:39 | DEBUG    | PortScan             | Port  6379 — closed / filtered
2026-03-16 15:02:39 | INFO     | PortScan             | Scan complete — 1 open port(s) found out of 8 probed
2026-03-16 15:02:39 | INFO     | PortScan             | ============================================================
2026-03-16 15:02:39 | INFO     | PortScan             |   SIMULATION SUMMARY — PortScan
2026-03-16 15:02:39 | INFO     | PortScan             | ============================================================
2026-03-16 15:02:39 | INFO     | PortScan             |   Target         : localhost:80
2026-03-16 15:02:39 | INFO     | PortScan             |   Duration       : 14.25 s
2026-03-16 15:02:39 | INFO     | PortScan             |   Packets sent   : 8
2026-03-16 15:02:39 | INFO     | PortScan             |   Connections    : 8
2026-03-16 15:02:39 | INFO     | PortScan             |   Bytes sent     : 0
2026-03-16 15:02:39 | INFO     | PortScan             |   Errors         : 0
2026-03-16 15:02:39 | INFO     | PortScan             | ============================================================
2026-03-16 15:11:57 | INFO     | PortScan             | Starting FAST port scan on 127.0.0.1  |  ports: 8  |  speed: fast
2026-03-16 15:11:59 | DEBUG    | PortScan             | Port    22 — closed / filtered
2026-03-16 15:12:01 | DEBUG    | PortScan             | Port    80 — closed / filtered
2026-03-16 15:12:03 | DEBUG    | PortScan             | Port   443 — closed / filtered
2026-03-16 15:12:05 | DEBUG    | PortScan             | Port  8080 — closed / filtered
2026-03-16 15:12:07 | DEBUG    | PortScan             | Port  8443 — closed / filtered
2026-03-16 15:12:09 | DEBUG    | PortScan             | Port  3306 — closed / filtered
2026-03-16 15:12:09 | INFO     | PortScan             | Port  5432 — OPEN
